ECAI_INSTITUTION,ECAI_RATING_SCALE,ECAI_LOOKUP_REF,ECAI_RATING,CQS,ECAI_LOOKUP_REF_2,
Moody’s Investor Service,Global long-term rating scale,Moody’s Investor Service Global long-term rating scale,Aaa,1,Moody’s Investor Service Global long-term rating scale_Aaa,
Moody’s Investor Service,Global long-term rating scale,Moody’s Investor Service Global long-term rating scale,Aa,1,Moody’s Investor Service Global long-term rating scale_Aa,
Moody’s Investor Service,Global long-term rating scale,Moody’s Investor Service Global long-term rating scale,A,1,Moody’s Investor Service Global long-term rating scale_A,
Moody’s Investor Service,Global long-term rating scale,Moody’s Investor Service Global long-term rating scale,Baa,1,Moody’s Investor Service Global long-term rating scale_Baa,
Moody’s Investor Service,Global long-term rating scale,Moody’s Investor Service Global long-term rating scale,Ba,1,Moody’s Investor Service Global long-term rating scale_Ba,
Moody’s Investor Service,Global long-term rating scale,Moody’s Investor Service Global long-term rating scale,B,1,Moody’s Investor Service Global long-term rating scale_B,
Moody’s Investor Service,Global long-term rating scale,Moody’s Investor Service Global long-term rating scale,Caa,1,Moody’s Investor Service Global long-term rating scale_Caa,
Moody’s Investor Service,Global long-term rating scale,Moody’s Investor Service Global long-term rating scale,Ca,1,Moody’s Investor Service Global long-term rating scale_Ca,
Moody’s Investor Service,Global long-term rating scale,Moody’s Investor Service Global long-term rating scale,C,1,Moody’s Investor Service Global long-term rating scale_C,
Moody’s Investor Service,Global short-term rating scale,Moody’s Investor Service Global short-term rating scale,P-1,1,Moody’s Investor Service Global short-term rating scale_P-1,
Moody’s Investor Service,Global short-term rating scale,Moody’s Investor Service Global short-term rating scale,P-2,1,Moody’s Investor Service Global short-term rating scale_P-2,
Moody’s Investor Service,Global short-term rating scale,Moody’s Investor Service Global short-term rating scale,P-3,1,Moody’s Investor Service Global short-term rating scale_P-3,
Moody’s Investor Service,Global short-term rating scale,Moody’s Investor Service Global short-term rating scale,NP,1,Moody’s Investor Service Global short-term rating scale_NP,
