SLOTTING_TYPE,SLOTTING_GRADE,MATURITY_LT_2P5_YRS,MATURITY_GE_2P5_YRS,,,
Object,1,0,0.4,,,
Object,2,0.4,0.8,,,
Object,3,2.8,2.8,,,
Object,4,8,8,,,
Object,5,50,50,,,
Project,1,0,0.4,,,
Project,2,0.4,0.8,,,
Project,3,2.8,2.8,,,
Project,4,8,8,,,
Project,5,50,50,,,
Commodities,1,0,0.4,,,
Commodities,2,0.4,0.8,,,
Commodities,3,2.8,2.8,,,
Commodities,4,8,8,,,
Commodities,5,50,50,,,
IPRE,1,0,0.4,,,
IPRE,2,0.4,0.8,,,
IPRE,3,2.8,2.8,,,
IPRE,4,8,8,,,
IPRE,5,50,50,,,
HVCRE,1,0.4,0.4,,,
HVCRE,2,0.4,0.4,,,
HVCRE,3,2.8,2.8,,,
HVCRE,4,8,8,,,
HVCRE,5,50,50,,,
