ST_EXPOSURE_CLASS_NAME,IRB_EXPOSURE_SUB_CLASS_NAME_1,,,,,
Central Government and Central Banks,Central Government and Central Banks,,,,,
Regional Government and Local Authorities,Institutions Quasi-sovereigns,,,,,
Public Sector Entities,Institutions Quasi-sovereigns,,,,,
Multilateral Development Banks,Institutions Quasi-sovereigns,,,,,
Exposure to International Organisations,Institutions Quasi-sovereigns,,,,,
Institutions,Institutions Other institutions,,,,,
Corporates,Corporate Specialised lending exposures,,,,,
Retail Exposures,Retail Exposures Qualifying revolving retail exposures,,,,,
Real Estate,Corporate Specialised lending exposures,,,,,
Exposures in Default,Corporates Other general corporates,,,,,
Particularly High Risk Items,Corporates Other general corporates,,,,,
Covered Bonds,Corporates Other general corporates,,,,,
Securitisations,Items representing securitisation positions,,,,,
Exposures to institutions and corporates with short term credit assessments,Corporates Other general corporates,,,,,
Exposures in the form of units or shares in Collective Investment Understakings,Other non-credit obligation assets,,,,,
"Subordinated Debt, Equity and Other Own Funds Investments",Equity exposures Other equity,,,,,
Other Items,Other non-credit obligation assets,,,,,
